site;LAT;LON;abtrichia;aegla;agriogomphus;alisotrichia;americabaetis;anacroneuria;antoptila;apobaetis;archeogomphus;argia;atopsyche;austrotinoides;baetodes;belostoma;cacoides;caenis;camelobaetidius;chimarra;cloeodes;coridalus;cryphocricus;cryptonynpha;cyanogomphus;farrodes;gomphoides;gomphus;gripopteryx;grumichella;guarinyperla;hagenulopsis;helicopsyche;heliocharis;hetaerina;heterelmis;hexachorus;hexacylloepus;hirudinea;homothraulus;hudsonema;hydrochara;hydroptila;hydrosmidon;Itaura;kempnya;lepthohyphes;leucotrichia;limnocoris;macrelmis;marilia;microcylloepus;mortoniella;needhamella;neoelmis;oecetis;orthotrichia;oxyetrichia;paracleodes;paragomphus;paragripopteryx;paramaka;perithemis;phanocercus;phylloicus;polyplectropus;progomphus;psephenus;rhagovelia;rhyacopsyche;simothraulopisis;smicridea;thraulodes;traverhyphes;tricorythodes;tricorythopsis;tupiperla;xenelmis;%OD;alcalinity;Hab_quality;width;DO;order;pH;depth;flow velocity;temperature;soiid;conductivity;turbitity;Total_N;Total_P;mean_altitude;mean_declivity;area;%_antropic_use;%_estepe;%_field;%_florest
15;-31.07900011;-53.89923187;0;0;0;0;3;1;0;0;0;10;0;0;27;0;0;5;13;0;0;5;0;0;0;0;0;0;219;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0;0;5;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;49;0;43;0;1;16;0;78.7;46;55;6;6.8;5;7.6;19.75;63.75;17;102.4;120.5;12.5;0.3;0.05;334;2.95;4.0;0.29;0.01;0.7;0.01
16;-30.45591016;-53.40079918;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;101.7;52.5;63;6;9.4;3;7.3;7.25;52.5;14;156.2;89.5;4.6;0.4;0.05;258;7.86;81.9;0;0;0.82;0.17
17;-30.74455614;-53.92157783;0;0;0;1;0;14;0;0;1;1;0;0;0;0;2;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;4;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;3;1;0;0;18;0;0;0;6;0;0;94.2;39;52;11;7.6;4;7.6;16.75;44.25;16;106.2;92.1;11.4;0.2;0.02;367;3.71;5.3;0.07;0.34;0.55;0.03
18;-30.53307561;-53.09193688;0;0;0;0;13;3;0;0;0;3;0;0;0;0;0;16;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;4;0;0;0;93.4;19;53;3;8.7;4;8.8;7.25;36;11;150;53.6;5.25;0.1;0.03;201;6.34;5.2;0.1;0;0.88;0.01
19;-31.39485384;-52.75102652;0;0;0;0;17;0;0;0;0;1;0;0;0;0;0;8;1;0;4;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;31;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;55;0;0;9;0;0;0;75;26;55;4;8.6;3;8.3;18;58.5;10;112;73.5;7.3;0.1;0.05;396;5.02;31.8;0.99;0;0;0.01
20;-31.61008008;-52.40241104;0;0;0;0;34;0;0;0;0;6;0;0;0;0;0;41;22;0;3;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;54;0;3;1;0;0;0;70.5;26;53;5;5.6;2;7.1;8;54;21.4;84;76.4;22.8;0.8;0.13;72;4.59;4.3;0.98;0;0;0
21;-31.63305894;-53.45378191;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;2;0;0;70.6;25;40;8;7;3;8.7;13.75;42.75;10;120;57.1;3.25;0.1;0.02;386;4.49;87.8;0.27;0.001;0.66;0.06
22;-31.70678543;-53.1308836;4;0;0;17;30;1;0;0;0;1;0;0;0;0;0;3;193;3;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14;0;0;0;6;6;0;0;0;2;0;0;0;0;0;0;0;0;21;0;0;0;288;10;31;1;0;0;0;82.4;18.5;58;4;6.8;2;8.2;8;54;16.5;154.4;52.2;26.2;0.4;0.04;228;4.48;6.8;0.05;0;0.94;0
23;-32.01009456;-53.43132178;0;0;0;0;4;17;0;0;0;3;2;0;75;0;0;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;5;26;4;4;0;3;0;0;92.3;15.5;64;7;7.8;3;8.4;9;45;15;106;45.3;6.5;0.1;0.01;307;4.41;17.4;0;0;0.99;0
24;-32.24809892;-53.18176937;0;5;0;0;0;3;0;0;0;0;0;0;10;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;15;0;0;0;0;77.6;53.5;56;3;6.6;2;7.9;7.5;53.25;14;166;17.8;4.9;0.1;0.02;94;3.33;6.2;0.03;0;0.97;0
